44,21,17,18,61,67,53,4,63,36,7,23,92,5,81,11,75,51,3,95,72
65,49,32,61,91,58,69,51,20,86,52,47,74,63,10,0,41,8,29,78,36
34,77,36,61,70,3,99,72,65,38,26,82,48,85,13,87,25,43,94,4,74
76,71,64,33,29,9,95,1,52,54,50,77,39,19,10,46,88,90,38,80,6
4,61,22,11,10,57,99,55,66,31,75,98,40,23,18,96,97,84,0,7,35
12,82,9,71,56,83,29,65,14,22,78,50,66,28,2,10,90,69,46,45,80
20,97,72,99,36,27,85,56,32,24,57,76,86,96,65,88,90,2,63,4,39
60,65,95,1,17,75,32,77,61,69,12,10,36,38,80,84,19,86,89,11,8
16,67,39,4,96,0,32,76,13,68,43,70,59,37,18,24,98,81,85,22,64
68,16,22,94,78,26,34,65,27,13,96,88,12,35,86,2,43,70,76,56,61
95,12,50,13,80,57,32,20,76,16,53,62,15,35,5,28,61,98,48,25,14
8,32,55,44,28,78,76,6,58,31,41,69,39,42,14,83,38,10,59,95,18
51,25,68,1,56,16,83,95,80,29,70,99,43,62,8,58,24,63,55,15,87
48,28,65,33,47,85,93,54,56,42,80,64,43,49,55,89,97,29,22,34,41
80,48,61,84,54,94,72,10,71,36,41,77,98,57,0,90,52,92,65,89,11
92,54,50,91,65,81,70,80,83,15,64,68,75,77,0,57,69,4,33,79,86
80,51,23,6,34,27,14,63,59,29,40,87,37,75,19,46,45,24,53,96,42
34,75,82,76,65,93,77,35,68,4,57,71,54,67,73,11,39,41,72,51,5
44,75,29,18,20,73,2,0,48,32,13,69,67,40,11,16,95,99,6,56,42
73,40,10,72,79,85,78,43,92,22,84,25,66,68,98,67,50,26,30,53,60
32,5,75,96,29,33,12,95,43,99,53,37,82,84,42,36,52,62,80,86,40
76,46,23,82,85,41,0,43,38,18,60,40,58,74,61,35,32,1,63,68,53
40,32,62,57,84,64,7,44,16,72,85,88,3,69,9,12,17,5,75,51,78
91,56,2,46,0,47,26,12,28,55,15,54,59,75,66,29,22,81,64,10,69
96,88,48,84,53,95,66,35,24,40,38,11,44,81,82,37,16,94,7,47,1
39,50,3,57,38,25,17,98,74,6,78,66,63,73,26,64,95,12,45,80,33
49,16,85,45,59,58,13,1,57,53,73,12,47,98,48,23,56,41,93,11,21
47,20,75,68,48,17,25,55,69,12,64,33,37,98,14,79,56,59,43,8,57
80,85,52,46,15,55,9,20,1,45,75,4,95,64,88,12,26,24,30,60,70
83,35,57,17,32,80,0,90,50,93,34,40,37,53,94,77,28,48,64,1,31
69,90,63,12,0,56,23,51,25,88,57,36,27,29,22,43,18,37,7,95,14
94,39,90,87,30,73,45,41,64,85,54,32,69,37,71,36,29,21,44,16,62
21,43,15,40,67,8,60,17,59,26,41,50,25,37,56,52,69,2,71,94,78
2,6,94,90,25,87,44,73,9,48,35,7,11,23,49,50,36,15,0,45,31
5,81,37,93,45,66,70,39,55,73,60,96,26,1,44,17,10,82,59,19,41
79,65,72,74,60,5,84,51,75,35,85,16,8,14,43,99,38,47,71,11,40
82,54,77,62,5,55,21,79,18,6,9,31,94,17,66,81,83,7,53,10,4
72,45,60,95,37,33,66,88,6,56,93,7,38,10,97,71,58,49,26,70,62
32,69,74,45,83,22,24,0,94,23,2,29,54,19,96,40,1,4,13,66,43
83,28,98,31,92,32,40,36,68,17,66,85,23,94,93,54,73,15,51,50,42
82,20,77,23,66,64,47,90,13,62,6,99,28,40,65,49,58,87,8,80,81
19,34,89,82,3,35,66,39,46,88,43,1,38,5,57,11,32,56,30,28,51
1,58,2,51,93,83,32,12,99,11,62,68,7,76,18,5,57,42,67,70,26
87,28,35,90,36,12,9,52,79,56,20,8,27,45,32,33,40,30,69,93,55
92,83,33,21,22,36,19,75,87,78,13,50,76,0,10,32,45,80,15,96,53
60,80,78,9,35,97,6,95,41,17,10,33,48,24,30,19,96,49,11,23,73
10,51,38,88,59,12,75,6,73,48,11,72,64,41,18,16,58,17,63,78,90
77,7,89,11,72,41,44,54,57,59,42,86,62,24,31,29,53,36,87,49,84
77,12,14,17,7,49,59,60,35,82,58,69,28,65,46,1,50,63,48,83,10
61,97,48,70,82,9,24,93,91,40,39,67,44,85,49,34,99,18,75,29,59
71,68,0,40,82,16,29,92,98,66,13,85,39,86,55,41,58,65,28,94,56
50,93,35,14,76,26,73,81,54,59,53,16,52,47,9,27,0,11,1,90,33
82,68,31,84,17,18,99,29,20,1,51,71,16,52,27,60,57,74,88,5,45
88,30,20,96,89,70,81,10,55,85,65,63,6,43,94,18,86,93,39,32,60
2,91,3,79,45,95,90,33,56,47,72,12,24,23,55,17,34,46,43,51,81
3,60,85,24,40,84,58,56,37,81,68,62,14,20,59,13,30,99,2,11,45
69,37,42,76,44,31,27,12,45,60,87,52,53,21,61,8,67,20,99,24,98
50,77,35,66,93,8,64,7,55,95,53,84,70,96,69,54,57,39,83,87,14
97,37,15,43,6,60,21,13,3,22,11,56,96,23,18,41,27,74,94,75,87
16,93,57,90,92,11,59,36,76,21,34,74,4,39,65,13,88,75,20,71,97
14,87,68,3,58,27,48,52,91,31,41,2,30,49,85,89,38,98,70,90,78
88,26,59,16,98,10,39,47,57,56,8,48,62,7,93,51,31,25,33,78,99
43,6,51,21,46,16,89,74,42,61,28,84,62,31,76,80,79,0,7,48,34
69,90,50,63,18,9,46,13,73,1,16,72,22,28,96,83,91,3,2,45,56
25,71,50,41,15,0,20,13,80,84,5,14,4,88,19,3,75,73,2,17,94
69,60,61,77,18,35,97,30,23,98,76,83,90,7,59,38,27,0,17,81,82
61,74,45,13,78,99,39,5,20,50,63,67,52,95,36,11,27,23,46,9,24
